,index,iteration,params,duration_in_second,silhouette_score,davies_bouldin_score,dunn_fast,silhouette_score_std,davies_bouldin_score_std,dunn_fast_std
0,507,507,"{'min_samples': 15, 'min_cluster_size': 10, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'eom'}",0.348801589012146,0.5807246,0.32812396512495956,0.6185196793667282,0.030639958,0.014539228862927595,0.019843618219952043
1,199,199,"{'min_samples': 15, 'min_cluster_size': 10, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom'}",0.3595174789428711,0.57456404,0.3317710880724563,0.6208181153960608,0.029433103,0.015447079748336163,0.02110228174998351
2,120,120,"{'min_samples': 15, 'min_cluster_size': 10, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom'}",0.3270797491073608,0.5740719,0.3296405376693993,0.6213946866390063,0.028399711,0.013534329090944241,0.021493500772549235
3,434,434,"{'min_samples': 10, 'min_cluster_size': 20, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'leaf'}",0.32136662006378175,0.5684714,0.5932307390680442,0.5395284148645764,0.12867722,0.8412287352502682,0.17591629475647216
4,118,118,"{'min_samples': 15, 'min_cluster_size': 10, 'cluster_selection_epsilon': 0.6, 'cluster_selection_method': 'eom'}",0.33635425567626953,0.5630731,0.33597322096745524,0.6251914623500767,0.02401957,0.010704977872352936,0.01696929732462267
5,890,890,"{'min_samples': 15, 'min_cluster_size': 10, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom'}",0.22949552536010742,0.5626783,0.33581145755000363,0.6301015444313123,0.023092534,0.0108586808789838,0.017767189246080332
6,951,951,"{'min_samples': 10, 'min_cluster_size': 10, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom'}",0.23538243770599365,0.562395,0.3362640551957353,0.6304106474830903,0.024685385,0.013038018378730844,0.01584996950568415
7,519,519,"{'min_samples': 5, 'min_cluster_size': 10, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'leaf'}",0.3308644533157349,0.55758196,0.3376757995863369,0.6317314190074486,0.017719874,0.009078420952442313,0.01484718004533771
8,774,774,"{'min_samples': 10, 'min_cluster_size': 10, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom'}",0.23624472618103026,0.5566171,0.33777698761340325,0.6350973797800535,0.017159903,0.007147336486999401,0.010608216236015038
9,55,55,"{'min_samples': 5, 'min_cluster_size': 10, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'leaf'}",0.3308129072189331,0.5564271,0.3388340695477522,0.6318223459310228,0.018470926,0.008580204613834895,0.012843248961089865
