,index,iteration,params,duration_in_second,num_labels,num_labels_std,silhouette_score,davies_bouldin_score,dunn_fast,silhouette_score_std,davies_bouldin_score_std,dunn_fast_std,min_samples,min_cluster_size,cluster_selection_epsilon,cluster_selection_method,metric
18,58,58,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.6, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",9.365582966804505,10.5,0.806225774829855,0.4786934,0.5618460183466181,0.3316238291427155,0.0008155684,0.2243651616950859,0.12707912568596882,5,5,0.6,leaf,mahalanobis
19,60,60,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.095343327522278,10.6,1.0198039027185568,0.4786591,0.6225863973337975,0.29570632550781006,0.0012189199,0.2088255343676078,0.09822751082411756,5,5,0.8,eom,manhattan
20,71,71,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",0.9931568622589111,9.7,0.45825756949558405,0.47863308,0.7720215202841183,0.26368571261119894,0.0017295721,0.10854283650484163,0.013070745754360453,5,5,1.0,leaf,euclidean
21,65,65,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",1.0071378469467163,10.1,1.2206555615733703,0.47857872,0.5842620151699318,0.38825165564287917,0.0023536803,0.30174142478463795,0.162940618746114,5,5,0.8,leaf,euclidean
22,66,66,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.104259729385376,10.2,0.6,0.47857085,0.6737332025631579,0.2638399732430486,0.0010816253,0.16852539796285337,0.015570901776399578,5,5,1.0,eom,manhattan
23,35,35,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",1.0208980798721314,10.3,0.7810249675906655,0.47829264,0.6067364609516142,0.2963363085083295,0.0023875034,0.19869200846652343,0.09522413833599677,5,2,1.0,leaf,euclidean
24,20,20,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.6, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",1.0084348917007446,9.9,1.0440306508910548,0.47822085,0.6848969989823961,0.29039366580551734,0.0016993167,0.24827476266728019,0.098090884713583,5,2,0.6,eom,euclidean
25,32,32,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",1.0395193099975586,9.7,1.1,0.47821632,0.6758208546476515,0.3272013912283386,0.0018340962,0.2443792471455028,0.13376357333230968,5,2,1.0,eom,euclidean
26,49,49,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",10.220155000686646,10.3,0.9,0.47820216,0.5131878463330652,0.327783828032077,0.0016649391,0.26882077887471795,0.12806985392586295,5,5,0.4,eom,mahalanobis
27,29,29,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",1.0077035188674928,10.7,0.7810249675906655,0.4781801,0.5721004486308015,0.32854997506991085,0.0016614472,0.22142174475010978,0.13168907766379348,5,2,0.8,leaf,euclidean
28,8,8,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.2, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",1.0220008850097657,10.9,0.9433981132056604,0.47809944,0.45262839637458796,0.3142225304094909,0.0017241914,0.22690074246114336,0.20082651367448773,5,2,0.2,eom,euclidean
29,24,24,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.1336694002151488,10.4,0.4898979485566356,0.4780882,0.635368781110856,0.2927358394787013,0.0013482871,0.202877964645039,0.09571058716654153,5,2,0.8,eom,manhattan
30,68,68,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",1.0072797775268554,10.0,0.7745966692414834,0.47803074,0.6144796217427161,0.3652888560728692,0.001231493,0.24864056474242777,0.14519049874982798,5,5,1.0,eom,euclidean
31,44,44,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.2, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",0.9928996562957764,10.2,0.8717797887081347,0.47798333,0.6579605683514463,0.22374062423010904,0.0018544112,0.22007264541874602,0.1639053518508276,5,5,0.2,eom,euclidean
32,54,54,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.6, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.0820783376693726,10.1,0.8306623862918076,0.47792658,0.6463913270648234,0.3359296368131808,0.0012462722,0.24399814206721482,0.12561911305741177,5,5,0.6,eom,manhattan
