,Unnamed: 0,index,iteration,params,duration_in_second,num_labels,num_labels_std,silhouette_score,davies_bouldin_score,dunn_fast,silhouette_score_std,davies_bouldin_score_std,dunn_fast_std,min_samples,min_cluster_size,cluster_selection_epsilon,cluster_selection_method,metric
18,18,292,292,"{'min_samples': 20, 'min_cluster_size': 2, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",0.93916597366333,5.8,0.3999999999999999,0.4984402,0.8948766305425361,0.2576024307337808,0.0010483374,0.1352488896094667,0.0118871034043783,20,2,1.0,leaf,euclidean
19,19,56,56,"{'min_samples': 20, 'min_cluster_size': 10, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",5.964181971549988,6.8,0.3999999999999999,0.49838862,1.015403310887241,0.2527331716747677,0.0014894815,0.113158874471714,0.0139007238344824,20,10,1.0,leaf,mahalanobis
20,20,139,139,"{'min_samples': 20, 'min_cluster_size': 5, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.0780437469482422,5.6,0.4898979485566356,0.4983798,0.9572064050544586,0.0556721452133543,0.0015111279,0.1246405456420176,0.0906801222473633,20,5,1.0,eom,manhattan
21,21,357,357,"{'min_samples': 20, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",0.9455968141555786,5.5,0.5,0.4983646,0.9119927471582788,0.2479672216837724,0.0017301427,0.1542883846965806,0.0115966751486561,20,20,0.4,eom,euclidean
22,22,150,150,"{'min_samples': 20, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.0363319873809815,5.5,0.6708203932499369,0.49835783,1.0853239970937036,0.0782967699853092,0.0009914956,0.4279274332317606,0.1047984271282866,20,20,0.4,eom,manhattan
23,23,242,242,"{'min_samples': 5, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.1329158544540403,5.8,0.3999999999999999,0.49833107,0.8363848672490496,0.2512983399456385,0.0010779048,0.1399933095229871,0.0139190422377833,5,20,0.1,eom,manhattan
24,24,320,320,"{'min_samples': 15, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.0844215154647827,5.7,0.458257569495584,0.49830204,0.8658762248519503,0.1720364772970293,0.0009208835,0.1327280783249551,0.1055910083159715,15,20,0,eom,manhattan
25,25,264,264,"{'min_samples': 25, 'min_cluster_size': 5, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",5.875124454498291,5.6,0.4898979485566356,0.4982975,0.9322705608313429,0.2447096688372794,0.00107813,0.1512253030275329,0.0173613719543647,25,5,1.0,eom,mahalanobis
26,26,69,69,"{'min_samples': 10, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.04270601272583,5.6,0.4898979485566356,0.49827915,0.8993917319226152,0.2004051101761561,0.001683133,0.1389674264725657,0.0977310584090166,10,20,0.8,eom,manhattan
27,27,188,188,"{'min_samples': 15, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",0.9411673784255982,5.7,0.458257569495584,0.49827495,0.8980114866735995,0.2503240751029585,0.0010837485,0.1032775868174766,0.0104086790195358,15,20,0.8,eom,euclidean
28,28,109,109,"{'min_samples': 15, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.0350738525390626,5.7,0.458257569495584,0.49826694,0.8570195579449607,0.1462863193070243,0.0017814245,0.1367778829735829,0.1132033394018579,15,20,0.1,eom,manhattan
29,29,12,12,"{'min_samples': 20, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",0.9604654788970948,5.4,0.4898979485566356,0.4982573,1.0115394340967718,0.2253884238679167,0.0016995154,0.1200698492764104,0.0755906327706757,20,5,0.8,leaf,euclidean
30,30,125,125,"{'min_samples': 25, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",5.818713331222535,6.3,0.7810249675906654,0.4982522,0.9756153385797482,0.2262867388588416,0.0017973824,0.1754531515179472,0.0779368744805734,25,20,0.8,leaf,mahalanobis
31,31,259,259,"{'min_samples': 15, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",0.924973726272583,5.6,0.4898979485566356,0.49824023,0.9335162133906448,0.2255982024124535,0.0016769089,0.150025045042579,0.0750575830790425,15,20,0,eom,euclidean
32,32,174,174,"{'min_samples': 10, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",7.834890151023865,6.5,0.5,0.4982361,0.9027781257588684,0.2504082134464663,0.0019518366,0.0957195954643729,0.0204036086128395,10,20,0.8,leaf,mahalanobis
33,33,222,222,"{'min_samples': 25, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.0536482334136963,5.4,0.4898979485566356,0.49822807,0.9900517251128652,0.1167921380620714,0.0016196469,0.1550628076391866,0.1136759254082572,25,2,0.4,eom,manhattan
34,34,93,93,"{'min_samples': 15, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",0.89383864402771,5.5,0.5,0.4982246,0.9706452408794012,0.2484004938019607,0.0017495068,0.13055297160818,0.0109589354206517,15,20,0.8,eom,euclidean
35,35,342,342,"{'min_samples': 10, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.1024978160858154,5.6,0.4898979485566356,0.49822456,0.86610151773542,0.2431511624532619,0.00090175937,0.1161269987852666,0.009862749327482,10,20,0.4,eom,manhattan
36,36,38,38,"{'min_samples': 25, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",5.551294231414795,6.0,0.4472135954999579,0.49820858,0.994043506477118,0.2281147448328627,0.0013951245,0.3838722932060029,0.0765260466377989,25,2,0.8,eom,mahalanobis
37,37,405,405,"{'min_samples': 20, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.027392864227295,5.5,0.5,0.49819717,0.988288998269794,0.0967612154141795,0.0011829346,0.1910365578186315,0.1110567435832025,20,5,0.1,eom,manhattan
38,38,431,431,"{'min_samples': 20, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",5.881188893318177,6.7,0.458257569495584,0.49819216,0.9111747870956836,0.2355952185827069,0.00123437,0.2152326538049733,0.0789045390844542,20,5,0.4,eom,mahalanobis
39,39,151,151,"{'min_samples': 20, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",5.940014314651489,6.4,0.66332495807108,0.4981916,0.8895003592745656,0.236678402601476,0.0018945929,0.1172219213659177,0.0796934512762982,20,2,0.1,eom,mahalanobis
40,40,86,86,"{'min_samples': 20, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.001350927352905,5.8,0.3999999999999999,0.4981801,0.8661310498518399,0.0553471450755677,0.0010442602,0.1163339879993363,0.095233987129801,20,2,0.1,eom,manhattan
41,41,235,235,"{'min_samples': 10, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",7.247770571708679,6.8,0.3999999999999999,0.49816194,1.0251812045255786,0.2495347145601958,0.002015716,0.1521791708856271,0.0159299043292646,10,20,0.8,eom,mahalanobis
42,42,389,389,"{'min_samples': 15, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",6.187992334365845,6.9,0.3,0.4981146,0.9565197211655868,0.261322014154828,0.0021820117,0.1186832946604631,0.0135061293224967,15,5,0.8,eom,mahalanobis
43,43,182,182,"{'min_samples': 20, 'min_cluster_size': 10, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.0839138507843018,5.4,0.4898979485566356,0.4981083,0.9925235131550788,0.0983446818789887,0.001842471,0.1239627878220694,0.1151611455137729,20,10,0.4,eom,manhattan
44,44,178,178,"{'min_samples': 20, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",0.935944414138794,5.6,0.4898979485566356,0.4981075,0.9508956270853663,0.250484088133904,0.0011946796,0.1099062990998882,0.0126823716998374,20,5,0.4,eom,euclidean
45,45,142,142,"{'min_samples': 20, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.1041959047317504,5.4,0.4898979485566356,0.49809614,0.9730661643746042,0.10051470739234,0.0010726508,0.1638311149550232,0.1170853290534381,20,2,0.8,eom,manhattan
46,46,291,291,"{'min_samples': 25, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",5.6964126348495485,5.8,0.7483314773547882,0.49809274,0.996391992975758,0.2478749671420613,0.000694525,0.1251198196920981,0.0133772533149693,25,5,0.4,eom,mahalanobis
47,47,423,423,"{'min_samples': 20, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.0559205532073974,5.5,0.6708203932499369,0.4980244,1.0356567844926148,0.1423345583469423,0.0017590341,0.4241335379061302,0.1147674933402146,20,20,0.4,eom,manhattan
48,48,184,184,"{'min_samples': 10, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",0.9531285047531128,5.6,0.4898979485566356,0.4980186,0.8970083809336605,0.2295158989377355,0.001399025,0.1367891283978168,0.0768627168876146,10,20,0.8,leaf,euclidean
49,49,356,356,"{'min_samples': 15, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",0.96516056060791,5.5,0.5,0.49800867,0.9623462033746708,0.2248728270641055,0.0013168707,0.1231797752728553,0.0738349765130979,15,20,0.8,leaf,euclidean
50,50,63,63,"{'min_samples': 20, 'min_cluster_size': 10, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",5.998872756958008,6.4,0.4898979485566356,0.49797517,0.8395147892651463,0.2530273845399387,0.0012121281,0.0936543812072813,0.0200155040435845,20,10,0.8,eom,mahalanobis
51,51,406,406,"{'min_samples': 20, 'min_cluster_size': 5, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.045544958114624,5.4,0.4898979485566356,0.4979683,0.9905450631627324,0.0778794466473098,0.0014852694,0.1378591235015931,0.1086714372212951,20,5,1.0,eom,manhattan
52,52,88,88,"{'min_samples': 20, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.02370924949646,5.6,0.4898979485566356,0.497958,0.943336888071979,0.0732418302880941,0.0014745374,0.1516703127294771,0.105397856711947,20,2,0,eom,manhattan
53,53,350,350,"{'min_samples': 20, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.2, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.0524142265319825,5.7,0.458257569495584,0.49794483,0.9193875811421812,0.0984786301495136,0.0005087522,0.1371212670607776,0.1155677624718349,20,2,0.2,eom,manhattan
54,54,171,171,"{'min_samples': 25, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",5.568369960784912,5.7,0.7810249675906654,0.49793568,1.044306830111331,0.241164400420828,0.0014774593,0.1236825704737798,0.0135859087619595,25,2,0.8,leaf,mahalanobis
55,55,403,403,"{'min_samples': 20, 'min_cluster_size': 10, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",6.161748313903809,6.4,0.4898979485566356,0.4979337,0.8966369064203947,0.227657848010632,0.0018809919,0.1260306129733181,0.07645270621717,20,10,0.8,eom,mahalanobis
56,56,251,251,"{'min_samples': 20, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",5.93278329372406,6.2,0.6,0.49791986,0.8964905141203598,0.2577927078071499,0.0014713994,0.1469431215873913,0.0102110228120668,20,20,0,eom,mahalanobis
57,57,428,428,"{'min_samples': 15, 'min_cluster_size': 20, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'eom', 'metric': 'manhattan'}",1.024771523475647,5.4,0.4898979485566356,0.4979106,0.9485016073706266,0.1550735948011136,0.0013148858,0.1474392986113948,0.1181001943062272,15,20,1.0,eom,manhattan
58,58,152,152,"{'min_samples': 15, 'min_cluster_size': 10, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",6.078657484054565,6.8,0.3999999999999999,0.49788585,1.0035132938074505,0.2551130980568158,0.001699219,0.1690857045929778,0.0167810207631808,15,10,0.4,eom,mahalanobis
59,59,4,4,"{'min_samples': 15, 'min_cluster_size': 10, 'cluster_selection_epsilon': 0.1, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",6.805673146247864,6.9,0.3,0.4978814,0.9803615295937012,0.2577590854081789,0.0012779279,0.0847523957811131,0.0133253791367225,15,10,0.1,eom,mahalanobis
60,60,329,329,"{'min_samples': 25, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0, 'cluster_selection_method': 'eom', 'metric': 'euclidean'}",0.9379494667053224,5.0,0.0,0.4978601,1.1183989250264514,0.2386703385767954,0.0014441272,0.043336596884084,0.0013447121676865,25,2,0,eom,euclidean
61,61,103,103,"{'min_samples': 25, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",6.166686940193176,6.0,0.4472135954999579,0.49784002,0.886341665715122,0.2243140462021635,0.0011074527,0.1042802591039157,0.0759607456507315,25,20,0.8,leaf,mahalanobis
62,62,211,211,"{'min_samples': 25, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",5.603662419319153,6.0,0.6324555320336759,0.49781746,1.0153298787303486,0.2375959080814832,0.001992028,0.2849853469055578,0.020836653992636,25,5,0.8,leaf,mahalanobis
63,63,80,80,"{'min_samples': 20, 'min_cluster_size': 20, 'cluster_selection_epsilon': 0.6, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",6.045571994781494,6.3,0.458257569495584,0.49781546,0.8660019333101475,0.2311420421454585,0.0039063115,0.11993099071807,0.0782358177838613,20,20,0.6,eom,mahalanobis
64,64,295,295,"{'min_samples': 20, 'min_cluster_size': 20, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'leaf', 'metric': 'euclidean'}",0.9052694320678712,5.4,0.4898979485566356,0.4978078,1.0281315345370268,0.2460069785716515,0.0016438651,0.1159889838658084,0.0115685862635105,20,20,1.0,leaf,euclidean
